Judas,California,Joshua Tree National Park,Hidden Valley Campground,The Old Woman,The Old Woman - East Face
Spider,California,Joshua Tree National Park,Hidden Valley Campground,The Old Woman,The Old Woman - East Face
Spider Line,California,Joshua Tree National Park,Hidden Valley Campground,The Old Woman,The Old Woman - East Face
Tabby Litter,California,Joshua Tree National Park,Hidden Valley Campground,The Old Woman,The Old Woman - East Face
Toe Jam,California,Joshua Tree National Park,Hidden Valley Campground,The Old Woman,The Old Woman - East Face
Formic Acidhead,California,Joshua Tree National Park,Real Hidden Valley,Alps Rock
North Face Of The Eiger,California,Joshua Tree National Park,Real Hidden Valley,Alps Rock
Walker Spur,California,Joshua Tree National Park,Real Hidden Valley,Alps Rock
Acupuncture,California,Joshua Tree National Park,Real Hidden Valley,Bite Rock
The Wolf Man,California,Joshua Tree National Park,Real Hidden Valley,Bite Rock
Brown 25,California,Joshua Tree National Park,Real Hidden Valley,The Brown Wall
Brown Trousers (aka Mr. Hankey),California,Joshua Tree National Park,Real Hidden Valley,The Brown Wall
Brownian Motion (aka Brown and Serve),California,Joshua Tree National Park,Real Hidden Valley,The Brown Wall
Brownies in Motion (AKA Brownian Motion),California,Joshua Tree National Park,Real Hidden Valley,The Brown Wall
Captain Kronos,California,Joshua Tree National Park,Real Hidden Valley,The Brown Wall
James Brown,California,Joshua Tree National Park,Real Hidden Valley,The Brown Wall
Jerry Brown,California,Joshua Tree National Park,Real Hidden Valley,The Brown Wall
Sgt. Saturn,California,Joshua Tree National Park,Real Hidden Valley,The Brown Wall
Dumbo Drop,California,Joshua Tree National Park,Real Hidden Valley,Elephant Dome
Pachyderms to Paradise,California,Joshua Tree National Park,Real Hidden Valley,Elephant Dome
Broken Glass,California,Joshua Tree National Park,Real Hidden Valley,Gateway Rock
False Tumbling Rainbow,California,Joshua Tree National Park,Real Hidden Valley,Gateway Rock
Hands Away,California,Joshua Tree National Park,Real Hidden Valley,Gateway Rock
In The Pit,California,Joshua Tree National Park,Real Hidden Valley,Gateway Rock
Lay Back And Do It,California,Joshua Tree National Park,Real Hidden Valley,Gateway Rock
Martin Quits,California,Joshua Tree National Park,Real Hidden Valley,Gateway Rock
Pit Bull Attack,California,Joshua Tree National Park,Real Hidden Valley,Gateway Rock
Semi Tough,California,Joshua Tree National Park,Real Hidden Valley,Gateway Rock
Solo,California,Joshua Tree National Park,Real Hidden Valley,Gateway Rock
